txn_date,biller_id,txn_value,txn_amount,txn_count_amt_2000_2500
2024-10-01,B001,56141,340571726.02,1708
2024-10-01,B002,82193,506096063.12,2510
2024-10-01,B003,129732,800776042.99,3883
2024-10-01,B004,69714,422075400.01,2098
2024-10-01,B005,79447,494514053.14,2283
2024-10-01,B006,65883,401504075.24,1928
2024-10-01,B007,66251,404518423.64,1964
2024-10-01,B008,79282,491494961.04,2337
2024-10-01,B009,101341,627841605.57,3000
2024-10-01,B010,101950,630841333.53,3040
2024-10-01,B011,112528,686458934.96,3355
2024-10-01,B012,82981,503703726.84,2485
2024-10-01,B013,98087,606188043.16,2971
2024-10-01,B014,110904,679694624.42,3291
2024-10-01,B015,71153,439124641.75,2221
2024-10-01,B016,85027,524278552.06,2492
2024-10-01,B017,148742,907410687.93,4366
2024-10-01,B018,102036,628729969.57,3019
2024-10-01,B019,70714,437852786.05,2123
2024-10-01,B020,144112,889567526.49,4383
2024-10-01,B021,128250,797844586.43,3876
2024-10-01,B022,74917,454659446.11,2192
2024-10-01,B023,145941,897072908.11,4200
2024-10-01,B024,85654,526245042.88,2592
2024-10-01,B025,86521,533875902.08,2508
2024-10-01,B026,140973,867940351.5,4198
2024-10-01,B027,135590,833443505.11,4052
2024-10-01,B028,129505,794194870.03,3809
2024-10-01,B029,114012,702486155.13,3403
2024-10-01,B030,124023,760552406.44,3720
2024-10-01,B031,102730,629411154.14,3068
2024-10-01,B032,81984,505014083.39,2456
2024-10-01,B033,110140,672951603.73,3252
2024-10-01,B034,132470,810987702.55,3915
2024-10-01,B035,138460,848180176.79,4121
2024-10-01,B036,128237,785437869.22,3770
2024-10-01,B037,119190,733468567.27,3476
2024-10-01,B038,48689,299870819.49,1459
2024-10-01,B039,71528,441770317.9,2111
2024-10-01,B040,103136,624670805.72,3063
2024-10-01,B041,131127,803846176.73,3792
2024-10-01,B042,89962,553537690.31,2664
2024-10-01,B043,108125,661416150.3,3258
2024-10-01,B044,92636,570022591.76,2803
2024-10-01,B045,87856,537833334.04,2622
2024-10-01,B046,62781,390289834.07,1929
2024-10-01,B047,78515,485216759.23,2297
2024-10-01,B048,62055,382668221.51,1828
2024-10-01,B049,143040,878394829.97,4327
2024-10-01,B050,142281,875102230.75,4302
2024-10-01,B051,112286,696333035.54,3410
2024-10-01,B052,114487,704938110.82,3458
2024-10-01,B053,133361,816216122.32,3939
2024-10-01,B054,114432,706132431.13,3358
2024-10-01,B055,68507,418400229.89,1980
2024-10-01,B056,113232,696405248.99,3326
2024-10-01,B057,145548,896200443.59,4317
