txn_date,biller_id,txn_value,txn_amount
2024-10-01,B001,9720,12360367
2024-10-01,B002,9474,17468510
2024-10-01,B003,18025,20035679
2024-10-01,B004,7065,22194664
2024-10-01,B005,6725,11784592
2024-10-01,B006,13529,27650828
2024-10-01,B007,5119,8376575
2024-10-01,B008,10287,15210901
2024-10-01,B009,5575,6677802
2024-10-01,B010,8744,11881472
2024-10-01,B011,7088,4057532
2024-10-01,B012,10352,20431803
2024-10-01,B013,13692,18131130
2024-10-01,B014,6113,9213970
2024-10-01,B015,10584,14646623
2024-10-01,B016,4771,6496829
2024-10-01,B017,8667,13501467
2024-10-01,B018,5349,8139991
2024-10-01,B019,20298,35396703
2024-10-01,B020,11110,22263407
2024-10-01,B021,7181,9156993
2024-10-01,B022,5647,11720111
2024-10-01,B023,9854,12417337
2024-10-01,B024,11810,35192248
2024-10-01,B025,15904,20612977
2024-10-01,B026,5297,8829253
2024-10-01,B027,14547,26725086
2024-10-01,B028,4401,5613724
2024-10-01,B029,15161,24433468
2024-10-01,B030,14705,13578960
2024-10-01,B031,11165,8229864
2024-10-01,B032,3420,3805926
2024-10-01,B033,16507,23060294
2024-10-01,B034,10313,14101236
2024-10-01,B035,10955,22482301
2024-10-01,B036,9553,11873821
2024-10-01,B037,11194,11862450
2024-10-01,B038,5238,8308054
2024-10-01,B039,2534,3462612
2024-10-01,B040,5151,6716461
2024-10-01,B041,5661,11855816
2024-10-01,B042,6507,13763211
2024-10-01,B043,6153,6908003
2024-10-01,B044,8035,10635157
2024-10-01,B045,14058,12518532
2024-10-01,B046,11057,22822638
2024-10-01,B047,7408,18549690
2024-10-01,B048,6903,16605730
2024-10-01,B049,13997,20925480
2024-10-01,B050,12857,26540107
2024-10-01,B051,12956,20213823
2024-10-01,B052,8763,24388490
2024-10-01,B053,11457,16044389
2024-10-01,B054,11376,11189540
2024-10-01,B055,4411,4281915
2024-10-01,B056,9529,22287200
2024-10-01,B057,3810,6927181
2024-10-01,B058,4165,4080442
2024-10-01,B059,6020,17427507
2024-10-01,B060,8889,16959607
2024-10-01,B061,11133,9941026
2024-10-01,B062,9987,19143258
2024-10-01,B063,7011,6673626
2024-10-01,B064,12313,16650921
2024-10-01,B065,13289,36001403
2024-10-01,B066,9114,15198598
2024-10-01,B067,14054,19318201
2024-10-01,B068,4724,8379099
2024-10-01,B069,6994,12381713
2024-10-01,B070,9555,17361521
2024-10-01,B071,13127,7801898
2024-10-01,B072,7193,12110406
2024-10-01,B073,3396,4864383
2024-10-01,B074,5092,8593904
2024-10-01,B075,5716,6678154
2024-10-01,B076,10954,16743591
2024-10-01,B077,4524,6938046
2024-10-01,B078,9309,8114270
2024-10-01,B079,5020,7417362
2024-10-01,B080,2821,9409512
2024-10-01,B081,10043,24575954
2024-10-01,B082,10170,9055921
2024-10-01,B083,7672,13131004
2024-10-01,B084,8551,13388902
2024-10-01,B085,7309,10653873
2024-10-01,B086,11529,14167138
2024-10-01,B087,7089,16841616
2024-10-01,B088,4114,3979294
2024-10-01,B089,7403,7976775
2024-10-01,B090,13933,20185019
2024-10-01,B091,16136,17683621
2024-10-01,B092,11624,14294743
2024-10-01,B093,2512,2794076
2024-10-01,B094,11979,14720170
2024-10-01,B095,5445,7229684
2024-10-01,B096,4426,9844235
2024-10-01,B097,5249,7814595
2024-10-01,B098,11373,20666210
2024-10-01,B099,4848,9193687
2024-10-01,B100,7722,17276910
2024-10-02,B001,9804,12127133
2024-10-02,B002,7353,13178180
2024-10-02,B003,17817,18250726
2024-10-02,B004,7975,25426477
2024-10-02,B005,6718,10641874
2024-10-02,B006,10739,23468365
2024-10-02,B007,4734,7661296
2024-10-02,B008,10656,15157134
2024-10-02,B009,7288,9483997
2024-10-02,B010,7066,9842197
2024-10-02,B011,7535,4940898
2024-10-02,B012,11472,25170311
2024-10-02,B013,9599,12421632
2024-10-02,B014,5611,7530190
2024-10-02,B015,14052,17557776
2024-10-02,B016,4282,6174904
2024-10-02,B017,8314,13744711
