txn_date,biller_id,txn_value,txn_amount
2024-10-01,B001,84684,119103794.58
2024-10-01,B002,75783,94628031.46
2024-10-01,B003,87041,118471462.33
2024-10-01,B004,88802,147060210.72
2024-10-01,B005,70341,106879394.94
2024-10-01,B006,73962,129005677.68
2024-10-01,B007,83475,136219041.38
2024-10-01,B008,80287,119908109.16
2024-10-01,B009,82358,143850608.11
2024-10-01,B010,76501,114252460.73
2024-10-01,B011,87650,137158579.17
2024-10-01,B012,87543,119697671.89
2024-10-01,B013,82409,117696317.68
2024-10-01,B014,89853,117086352.59
2024-10-01,B015,85607,136584668.4
2024-10-01,B016,76997,94707917.35
2024-10-01,B017,85610,133234630.87
2024-10-01,B018,76558,106016853.06
2024-10-01,B019,88388,144129678.73
2024-10-01,B020,82642,128130577.48
2024-10-01,B021,81169,143084950.86
2024-10-01,B022,77894,120478277.51
2024-10-01,B023,90814,106548065.66
2024-10-01,B024,81691,114816710.13
2024-10-01,B025,79276,97584839.42
2024-10-01,B026,79702,106115558.47
2024-10-01,B027,85794,145725404.83
2024-10-01,B028,85042,130070535.67
2024-10-01,B029,84743,110407610.99
2024-10-01,B030,85047,106696199.26
2024-10-01,B031,97847,139179777.58
2024-10-01,B032,80068,98034222.97
2024-10-01,B033,78941,103192015.48
2024-10-01,B034,77034,113308659.55
2024-10-01,B035,86345,140529287.55
2024-10-01,B036,89857,136961309.08
2024-10-01,B037,81600,87821126.9
2024-10-01,B038,77445,113808770.77
2024-10-01,B039,77540,110815375.98
2024-10-01,B040,86818,129270664.89
2024-10-01,B041,87696,150844427.78
2024-10-01,B042,85953,95072486.65
2024-10-01,B043,78337,103390718.8
2024-10-01,B044,84516,128544763.83
2024-10-01,B045,82786,97017872.4
2024-10-01,B046,83518,141260208.4
2024-10-01,B047,88433,130957857.46
2024-10-01,B048,83608,131125760.12
2024-10-01,B049,87000,115102433.19
2024-10-01,B050,82477,128843525.23
2024-10-01,B051,83937,135193985.97
2024-10-01,B052,86837,126520675.38
2024-10-01,B053,73076,106490489.28
2024-10-01,B054,80501,117817683.13
2024-10-01,B055,78994,100906873.25
2024-10-01,B056,78804,109693256.3
2024-10-01,B057,80439,111902057.86
2024-10-01,B058,93012,137987535.25
2024-10-01,B059,76710,122540129.44
2024-10-01,B060,89152,111246229.05
2024-10-01,B061,71690,100060775.89
2024-10-01,B062,80762,136689072.07
2024-10-01,B063,83453,108145829.31
2024-10-01,B064,86673,111263358.53
